Simple,Move to the sofa and adjust its position slightly to the left for better alignment with the room layout,living_room,FloorPlan201_001
Medium,Retrieve the remote control from the coffee table and place it on the armrest of the sofa,living_room,FloorPlan201_001
Complex,"Turn on the television, adjust the volume using the remote control, and then place the remote on the side table next to the sofa",living_room,FloorPlan201_001
Simple,Move the pillow from the sofa to the armchair for better seating comfort.,living_room,FloorPlan201_002
Medium,Arrange the chairs around the dining table so they are evenly spaced and properly aligned.,living_room,FloorPlan201_002
Complex,"Retrieve the laptop from the dining table, place it on the sofa, and open it to check for any notifications.",living_room,FloorPlan201_002
Simple,Pick up the newspaper from the dining table and place it on the desk.,living_room,FloorPlan201_003
Medium,Gather all pens and pencils from the dining table and organize them in a pen holder on the desk.,living_room,FloorPlan201_003
Complex,"Retrieve the laptop from the dining table, move it to the chair near the desk, open it, and then place the book beside it on the desk.",living_room,FloorPlan201_003
Simple,Move the laptop from the dining table to the sofa and place it on the cushion.,living_room,FloorPlan201_004
Medium,Gather all chairs around the dining table and ensure they are properly aligned for seating.,living_room,FloorPlan201_004
Complex,"Retrieve the plant from the corner, place it on the dining table, then adjust the laptop's position to face the plant.",living_room,FloorPlan201_004
Simple,Adjust the position of the statue to face the painting on the wall,living_room,FloorPlan201_005
Medium,Water the houseplant using a nearby watering can and place it back on the floor,living_room,FloorPlan201_005
Complex,"Remove the painting from the wall, clean its surface with a cloth, and rehang it at a slightly higher position",living_room,FloorPlan201_005
Simple,Move the houseplant from the coffee table to the corner near the window,living_room,FloorPlan202_001
Medium,Place a book from the TV stand onto the coffee table and arrange it neatly,living_room,FloorPlan202_001
Complex,"Retrieve the laptop from the striped sofa, place it on the coffee table, and then turn on the floor lamp to provide better lighting",living_room,FloorPlan202_001
Simple,Move the houseplant from the floor to the coffee table,living_room,FloorPlan202_002
Medium,Pick up the book from the TV stand and place it on the coffee table,living_room,FloorPlan202_002
Complex,"Turn on the floor lamp, then move the houseplant to the corner near the lamp for better lighting",living_room,FloorPlan202_002
Simple,Move the houseplant from the coffee table to the TV stand,living_room,FloorPlan202_003
Medium,Pick up the book from the TV stand and place it on the sofa beside the purple pillow,living_room,FloorPlan202_003
Complex,"Retrieve the cardboard box from the side table, open it, and place the houseplant inside before moving the box to the corner near the door",living_room,FloorPlan202_003
Simple,Pick up the book from the TV stand and place it on the shelf in the corner.,living_room,FloorPlan202_004
Medium,Retrieve the keychain from the TV stand and hang it on the hook near the door.,living_room,FloorPlan202_004
Complex,"Take the watch from the TV stand, clean it with a cloth from the drawer under the TV stand, and then place it back on the table.",living_room,FloorPlan202_004
Simple,Move the houseplant to the corner near the window and adjust its position for better lighting,living_room,FloorPlan202_005
Medium,Retrieve the laptop from the striped armchair and place it on the coffee table in front of the sofa,living_room,FloorPlan202_005
Complex,"Open the cardboard box on the side table, remove the small figurine inside, and place it on the couch cushion next to the purple pillow",living_room,FloorPlan202_005
Simple,Place the statue inside the open box on the side table,living_room,FloorPlan202_006
Medium,Move the box to the shelf and place it securely on top,living_room,FloorPlan202_006
Complex,"Retrieve the statue from the side table, place it on the shelf, and then close the box if possible",living_room,FloorPlan202_006
Simple,Pick up the laptop from the armchair and place it on the sofa.,living_room,FloorPlan202_007
Medium,Move the laptop to the center of the armchair and open it.,living_room,FloorPlan202_007
Complex,"Pick up the laptop, move it to the sofa, open it, and then turn it on.",living_room,FloorPlan202_007
Simple,Pick up the green pillow from the sofa and place it neatly on the opposite side of the couch,living_room,FloorPlan203_001
Medium,"Move to the coffee table, pick up the laptop, open it, and place it on the nearby desk for use",living_room,FloorPlan203_001
Complex,"Retrieve the remote control from the sofa, walk to the TV, turn it on, and then adjust the volume using the remote",living_room,FloorPlan203_001
Simple,Retrieve the boots from the floor near the wall and place them neatly by the door.,living_room,FloorPlan203_002
Medium,Ascend the staircase and open the door at the top to check if any items need to be retrieved.,living_room,FloorPlan203_002
Complex,"Pick up the green trash bin from the base of the stairs, carry it to the kitchen area, and empty its contents into the kitchen waste disposal unit.",living_room,FloorPlan203_002
Simple,Pick up the red cloth from the sofa and place it neatly on the side table.,living_room,FloorPlan203_003
Medium,"Move to the dining table, pick up the yellow napkin, fold it, and place it at the center of the table.",living_room,FloorPlan203_003
Complex,"Retrieve the potted plant from the side table, move it to the corner near the window, and adjust its position for better lighting.",living_room,FloorPlan203_003
Simple,"Move to the coffee table and pick up the remote control, then place it on the armchair.",living_room,FloorPlan203_004
Medium,"Retrieve the green pillow from the couch, carry it to the bookshelf area, and place it neatly beside the fireplace.",living_room,FloorPlan203_004
Complex,"Navigate to the dining area, pick up a chair, move it closer to the table, then return to the living room and adjust the position of the ottoman for better seating comfort.",living_room,FloorPlan203_004
Simple,Pick up the remote control from the sofa and place it on the coffee table,living_room,FloorPlan203_005
Medium,Close the laptop on the coffee table and move it to the drawer for storage,living_room,FloorPlan203_005
Complex,"Retrieve the watch from the floor, clean it with a cloth from the nearby drawer, and place it back on the coffee table",living_room,FloorPlan203_005
Simple,Pick up the watering can and place it under the houseplant on the side table,living_room,FloorPlan203_006
Medium,"Open the drawer, retrieve the credit card, and place it back into the tissue box",living_room,FloorPlan203_006
Complex,"Move the tissue box to the floor, open the drawer, take out the credit card, then place the card inside the tissue box and return the box to the side table",living_room,FloorPlan203_006
Simple,Pick up the cell phone from the dining table and place it on the chair next to it,living_room,FloorPlan203_007
